configuration_index,similarities
709,0.8536114692687988
710,0.8703177571296692
711,0.863490641117096
712,0.8598023653030396
713,0.869480311870575
714,0.8575993180274963
715,0.8615531921386719
716,0.8524522185325623
717,0.8620879650115967
718,0.8576959371566772
719,0.8753049373626709
720,0.8599256277084351
721,0.8506498336791992
722,0.8634889721870422
723,0.850669264793396
724,0.8532050848007202
725,0.8785696029663086
726,0.8478853702545166
727,0.8598527312278748
728,0.856914222240448
729,0.8702719807624817
730,0.8588130474090576
731,0.8612837791442871
732,0.8640002012252808
733,0.8620807528495789
734,0.8660181760787964
735,0.8642960786819458
736,0.854219377040863
737,0.8551838994026184
738,0.9999991655349731
739,0.8628291487693787
740,0.8691496253013611
741,0.8568169474601746
742,0.8661123514175415
743,0.8650709986686707
744,0.8533148169517517
745,0.8713405728340149
746,0.8581507802009583
747,0.8727491497993469
748,0.8766482472419739
749,0.8545078635215759
750,0.8639740347862244
751,0.86625075340271
752,0.8609387278556824
753,0.857138454914093
754,0.8566092252731323
755,0.8786064982414246
756,0.854850709438324
757,0.8744595646858215
758,0.8642849922180176
759,0.8523560166358948
760,0.861980676651001
761,0.8728727102279663
762,0.8751041293144226
763,0.8652730584144592
764,0.8556966185569763
765,0.8734986782073975
766,0.8674174547195435
767,0.8499078750610352
768,0.8586418032646179
769,0.9999992251396179
770,0.8641809225082397
771,0.8471599817276001
772,0.852451741695404
773,0.8631448745727539
774,0.8565546274185181
775,0.8592715859413147
776,0.8720045685768127
777,0.8611311912536621
778,0.863166868686676
779,0.8624239563941956
780,0.8737849593162537
781,0.9999993443489075
782,0.864248514175415
783,0.8706629872322083
784,0.8487634658813477
785,0.8591751456260681
786,0.8606313467025757
787,0.8567220568656921
788,0.8580222725868225
789,0.8641236424446106
790,0.8671665191650391
791,0.8603804111480713
792,0.853305995464325
793,0.8606495261192322
794,0.8731430768966675
795,0.8581094145774841
796,0.8636791110038757
797,0.858030378818512
798,0.8548469543457031
799,0.858089029788971
800,0.8554987907409668
801,0.8625293374061584
802,0.8688920736312866
803,0.8628258109092712
804,0.8485429286956787
805,0.8566011190414429
806,0.8592866063117981
807,0.8764089345932007
808,0.8637038469314575
809,0.8602358102798462
810,0.8662604093551636
811,0.8682320713996887
812,0.8732808232307434
813,0.864981472492218
814,0.8701346516609192
815,0.9999992847442627
816,0.8653374314308167
817,0.8728936910629272
818,0.8554965257644653
819,0.8788012862205505
820,0.863044798374176
821,0.8663101196289062
822,0.858776867389679
823,0.8539910316467285
824,0.8680205941200256
825,0.8668786883354187
826,0.8619480729103088
827,0.851047933101654
828,0.8558511734008789
829,0.8516719341278076
830,0.8639538884162903
831,0.8485498428344727
832,0.8702274560928345
833,0.8696220517158508
834,0.8574299812316895
835,0.8529828190803528
836,0.8644580245018005
837,0.8632284998893738
838,0.8682421445846558
839,0.872793972492218
840,0.8764277696609497
841,0.8515512943267822
842,0.8533030152320862
843,0.8710112571716309
844,0.8605103492736816
845,0.8707754015922546
846,0.8457863330841064
847,0.8589552044868469
848,0.8677831888198853
849,0.8495731949806213
850,0.8614146709442139
851,0.863309383392334
852,0.8469099998474121
853,0.8546686768531799
854,0.8777086138725281
855,0.8518689274787903
856,0.8525413870811462
857,0.8604059815406799
858,0.8584345579147339
859,0.8648316264152527
860,0.8641912937164307
861,0.8560571670532227
862,0.8585174679756165
863,0.8531991243362427
864,0.9999991655349731
865,0.853412926197052
866,0.8551704287528992
867,0.86388099193573
868,0.9999991655349731
869,0.8574444055557251
870,0.8582172989845276
871,0.8646669983863831
872,0.8660895824432373
873,0.8591393232345581
874,0.8553965091705322
875,0.8682711124420166
876,0.8827778100967407
877,0.8669872879981995
878,0.8657022714614868
879,0.8624115586280823
880,0.8760581612586975
881,0.8560107946395874
882,0.8657988905906677
883,0.8492016792297363
884,0.8696629405021667
885,0.8578144311904907
886,0.859150767326355
887,0.9999992251396179
888,0.8740382194519043
889,0.8655393123626709
890,0.8553698658943176
891,0.8587706685066223
892,0.8639036417007446
893,0.8714777231216431
894,0.8607305884361267
895,0.8644879460334778
896,0.8661526441574097
897,0.8451902270317078
898,0.8721370100975037
899,0.8693553805351257
900,0.8626217246055603
901,0.8556498885154724
